,움직임_1,움직임_0
859,5.682,4.672
860,3.326,6.477
861,5.934,5.372
862,6.36,6.659
863,3.814,4.702
864,2.714,5.053
865,4.319,5.239
866,5.424,5.543
867,5.651,6.059
868,5.992,6.877
869,4.787,5.302
870,4.469,5.601
871,6.604,5.178
872,5.712,5.202
873,5.641,5.85
874,4.576,6.966
875,4.698,5.745
876,4.457,5.853
877,4.375,5.548
878,4.556,6.472
879,4.496,6.74
880,4.499,6.272
881,4.572,4.508
882,4.668,5.263
883,4.869,4.933
884,4.605,6.228
885,4.585,4.995
886,5.304,4.714
887,5.368,4.55
888,4.863,5.372
889,5.098,5.461
890,6.902,4.567
891,5.01,4.541
892,5.137,5.235
893,4.769,5.174
894,4.631,4.406
895,4.749,5.94
896,4.573,5.843
897,4.603,4.4
898,4.604,4.292
899,4.69,4.382
900,4.966,4.541
901,4.891,4.8
902,4.293,5.939
903,5.631,6.597
904,4.723,5.42
905,4.736,6.959
906,4.284,6.07
907,4.202,5.279
908,4.119,4.404
909,4.115,5.163
910,4.36,6.257
911,4.286,5.897
912,4.145,4.556
913,4.175,6.142
914,4.18,6.492
915,4.261,5.688
916,4.184,4.968
917,4.226,8.804
918,4.952,7.802
919,4.526,7.657
920,4.911,8.804
921,5.31,5.807
922,3.816,6.588
923,3.794,5.592
924,3.866,8.781
925,4.021,1.948
926,4.687,6.598
927,4.24,4.983
928,6.242,6.473
929,4.554,5.064
930,5.548,4.616
931,6.455,5.135
932,3.054,6.126
933,5.124,9.131
934,4.398,7.793
935,5.885,5.551
936,5.402,7.982
937,6.1,7.714
938,5.685,3.06
939,6.378,2.502
940,5.312,3.502
941,4.908,7.489
942,5.827,5.218
943,4.782,8.698
944,3.763,3.092
945,3.874,6.793
946,5.298,8.329
947,5.073,9.194
948,4.979,8.265
949,5.184,3.431
950,5.112,3.708
951,6.184,3.392
952,5.212,4.124
953,4.396,5.184
954,5.208,2.304
955,5.175,2.55
956,4.497,7.992
957,4.856,4.522
958,5.007,6.71
959,4.799,6.137
960,4.831,8.564
961,4.527,8.353
962,4.53,3.338
963,4.579,9.391
964,6.896,7.622
965,4.488,1.034
966,4.815,7.987
967,4.806,1.853
968,4.776,9.454
969,4.607,6.724
970,4.489,6.695
971,4.497,6.235
972,4.442,6.134
973,4.554,4.705
974,4.854,5.127
975,4.861,5.115
976,4.47,4.836
977,5.795,4.91
978,4.612,4.644
979,4.378,4.689
980,4.701,4.962
981,4.623,4.699
982,4.476,5.596
983,4.436,5.385
984,4.74,9.28
985,4.7,5.462
986,6.266,5.23
987,5.732,2.546
988,5.402,7.122
989,4.901,2.268
990,5.352,7.027
991,5.539,1.881
992,5.167,7.535
993,5.298,5.52
994,5.016,5.702
995,5.609,7.956
996,5.423,6.619
997,6.46,5.113
998,3.443,4.515
999,6.431,4.316
1000,5.384,5.122
1001,5.151,6.395
1002,6.313,4.624
1003,2.256,7.051
1004,5.212,3.884
1005,7.021,1.853
1006,3.643,2.936
1007,6.635,5.898
1008,6.208,1.226
1009,5.705,5.412
1010,7.602,4.798
1011,6.899,4.882
1012,5.513,5.039
1013,5.324,5.747
1014,5.615,1.147
1015,6.067,6.89
1016,6.09,5.284
1017,6.01,6.11
1018,6.275,5.283
1019,5.154,5.285
1020,6.727,1.494
1021,6.16,5.895
1022,6.194,5.53
1023,5.086,5.414
1024,4.968,1.9
1025,5.669,5.944
1026,5.436,4.734
1027,5.947,4.706
1028,5.291,6.7
1029,5.647,5.471
1030,6.032,4.482
1031,5.373,4.505
1032,5.868,5.636
1033,5.986,6.984
1034,5.507,0.985
1035,5.501,4.953
1036,5.026,4.105
1037,6.972,4.451
1038,6.187,6.97
1039,6.617,9.073
1040,6.153,7.015
1041,5.083,4.784
1042,6.084,4.445
1043,5.596,3.991
1044,1.533,4.601
1045,4.833,3.79
1046,4.481,4.2
1047,4.421,3.639
1048,4.353,4.099
1049,4.18,4.099
1050,6.667,4.158
1051,6.978,4.696
1052,1.379,4.341
1053,5.055,4.092
1054,4.066,8.016
1055,4.147,8.48
1056,4.116,4.494
1057,4.328,4.241
1058,4.014,3.789
1059,4.076,3.665
1060,4.278,3.778
1061,6.061,5.434
1062,3.621,2.23
1063,3.405,4.812
1064,3.797,5.395
1065,4.167,4.982
1066,4.171,5.059
1067,4.308,5.94
1068,4.539,5.388
1069,3.792,4.585
1070,3.817,4.636
1071,3.695,4.622
1072,3.525,4.701
1073,3.407,4.801
1074,6.772,5.825
1075,4.944,5.505
1076,4.919,6.035
1077,4.486,4.359
1078,5.546,3.484
1079,5.383,3.512
1080,5.071,3.724
1081,4.239,3.424
1082,4.068,3.668
1083,3.416,4.232
1084,3.427,3.492
1085,4.91,3.93
1086,3.557,3.574
1087,3.333,3.902
1088,3.32,3.936
1089,3.191,3.469
1090,3.094,3.535
1091,3.683,3.423
1092,3.823,3.549
1093,5.779,3.649
1094,3.461,6.005
1095,4.74,4.916
1096,4.07,5.407
1097,3.764,3.337
1098,3.794,3.531
1099,3.787,3.389
1100,3.659,3.49
1101,3.601,3.488
1102,3.538,3.265
1103,3.364,3.289
1104,3.4,3.521
1105,3.655,3.255
1106,3.766,3.358
1107,4.207,3.311
1108,3.82,3.265
1109,3.671,3.219
1110,3.664,3.35
1111,3.499,3.315
1112,3.618,3.43
1113,3.453,3.529
1114,3.356,3.576
1115,3.371,3.688
1116,7.583,3.342
1117,5.505,3.381
1118,5.773,3.182
1119,5.504,3.208
1120,5.114,3.617
1121,5.583,3.566
1122,5.466,3.25
1123,6.353,3.402
1124,5.641,3.394
1125,5.458,3.864
1126,5.17,3.483
1127,5.106,3.266
1128,5.04,3.042
1129,5.069,3.425
1130,6.198,3.526
1131,6.477,3.341
1132,6.634,3.014
1133,7.207,3.623
1134,6.882,3.464
1135,6.862,3.208
1136,4.845,3.105
1137,5.64,3.426
1138,5.858,7.516
1139,5.024,4.563
1140,4.839,4.115
1141,4.947,5.397
1142,4.672,4.388
1143,5.142,4.358
1144,5.187,4.556
1145,6.044,4.149
1146,5.786,4.954
1147,5.47,5.9
1148,5.458,4.716
1149,5.412,4.677
1150,4.975,4.208
1151,4.728,4.654
1152,6.194,5.009
1153,4.766,4.538
1154,4.878,4.428
1155,5.235,4.141
1156,4.84,8.431
1157,4.478,6.278
1158,4.729,7.216
1159,4.684,6.879
1160,4.603,4.565
1161,5.27,3.939
1162,4.544,4.767
1163,4.764,4.372
1164,5.408,4.282
1165,4.634,4.64
1166,4.137,4.666
1167,7.389,4.62
1168,5.143,4.311
1169,5.475,4.923
1170,6.74,4.669
1171,5.308,5.11
1172,5.578,6.945
1173,5.54,4.932
1174,5.348,5.691
1175,5.158,4.942
1176,4.898,4.959
1177,4.628,4.909
1178,5.252,5.494
1179,5.076,4.449
1180,4.688,6.214
1181,4.369,6.009
1182,4.669,5.706
1183,4.253,5.745
1184,6.415,6.006
1185,5.025,5.853
1186,5.19,3.946
1187,5.216,6.458
1188,5.36,5.644
1189,5.322,5.083
1190,5.182,4.374
1191,7.28,4.358
1192,7.385,3.982
1193,7.464,4.419
1194,5.273,4.078
1195,4.794,4.014
1196,4.744,4.154
1197,4.64,4.061
1198,4.828,3.99
1199,4.8,4.091
1200,4.116,4.098
1201,4.441,4.19
1202,4.01,4.18
1203,4.069,3.708
1204,4.4,3.64
1205,4.255,3.604
1206,4.386,3.72
1207,4.298,5.501
1208,3.997,5.298
1209,4.068,6.494
1210,4.947,8.612
1211,4.897,8.482
1212,5.031,7.288
1213,4.667,6.534
1214,4.755,6.416
1215,4.603,6.833
1216,4.44,7.814
1217,4.34,8.77
1218,4.718,8.244
1219,4.865,9.395
1220,5.152,6.281
1221,4.223,5.381
1222,4.721,6.094
1223,4.203,5.242
1224,4.767,5.001
1225,4.287,4.933
1226,4.022,9.223
1227,4.088,7.208
1228,4.224,5.354
1229,6.633,8.645
1230,5.351,5.252
1231,5.095,4.61
1232,6.3,5.126
1233,4.011,7.259
1234,4.359,5.457
1235,4.147,6.125
1236,4.58,9.327
1237,4.865,5.893
1238,6.948,7.2
1239,4.909,7.308
1240,4.488,5.587
1241,4.385,6.05
1242,4.53,4.978
1243,4.372,5.266
1244,4.288,5.257
1245,4.319,5.382
1246,4.589,5.932
1247,5.441,5.528
1248,4.392,7.706
1249,4.407,6.906
1250,4.404,6.256
1251,4.245,8.857
1252,4.254,5.492
1253,4.292,4.393
1254,4.208,5.071
1255,4.317,4.783
1256,5.089,8.211
1257,4.415,6.887
1258,4.44,7.142
1259,4.59,6.144
1260,4.357,9.586
1261,4.351,8.674
1262,7.152,5.954
1263,5.121,8.939
1264,5.425,8.152
1265,3.937,8.429
1266,7.423,6.269
1267,7.819,4.766
1268,4.684,4.676
1269,4.443,4.698
1270,4.601,4.423
1271,6.363,4.631
1272,3.928,8.899
1273,4.267,5.525
1274,4.344,9.296
1275,4.105,6.013
1276,4.027,5.313
1277,4.005,5.059
1278,4.502,5.533
1279,4.233,7.842
1280,4.111,6.577
1281,4.401,8.886
1282,6.176,5.81
1283,5.454,5.843
1284,6.156,8.167
1285,7.754,5.051
1286,4.918,6.424
1287,5.228,6.682
1288,4.771,6.073
1289,4.392,7.987
1290,5.034,6.474
1291,5.278,8.568
1292,6.266,8.252
1293,4.665,6.323
1294,4.54,6.095
1295,4.479,6.816
1296,4.773,4.956
1297,4.469,5.484
1298,4.47,4.929
1299,4.526,5.191
1300,4.582,4.758
1301,4.925,7.921
1302,5.181,6.016
1303,4.006,6.129
1304,4.454,6.826
1305,4.178,6.187
1306,6.1,6.048
1307,4.878,5.298
1308,4.578,5.927
1309,4.436,5.464
1310,4.456,4.963
1311,5.703,5.828
1312,4.336,5.088
1313,4.341,4.558
1314,4.335,4.528
1315,4.459,6.829
1316,4.373,5.603
1317,4.493,5.421
1318,4.376,9.617
1319,4.39,7.89
1320,4.536,6.408
1321,4.458,6.136
1322,4.837,5.357
1323,5.299,5.215
1324,4.27,5.459
1325,4.301,5.298
1326,4.318,5.362
1327,4.091,5.374
1328,4.594,5.546
1329,4.24,6.897
1330,4.283,3.346
1331,4.661,6.583
1332,4.258,7.087
1333,5.03,6.183
1334,4.717,5.444
1335,7.081,5.18
1336,1.465,6.771
1337,4.936,6.8
1338,5.176,9.172
1339,1.516,6.464
1340,5.311,6.973
1341,5.032,6.327
1342,7.816,6.736
1343,2.372,6.862
1344,2.895,6.287
1345,2.446,5.599
1346,2.825,5.815
1347,2.808,4.828
1348,6.312,8.493
1349,4.826,2.764
1350,6.183,1.473
1351,6.068,3.044
1352,6.457,2.603
1353,2.166,5.861
1354,1.93,4.505
1355,1.459,3.774
1356,1.814,7.412
1357,1.452,9.211
