,움직임(z축 X)_1,움직임(z축 X)_0
698,1.806,1.872
699,1.859,1.924
700,1.905,2.053
701,1.873,1.868
702,1.877,1.866
703,1.819,1.857
704,1.874,1.859
705,1.902,1.946
706,1.866,1.894
707,1.875,1.887
708,1.87,1.888
709,1.825,1.888
710,1.878,1.925
711,1.879,1.902
712,2.06,3.097
713,1.877,2.542
714,2.012,2.522
715,1.9,2.94
716,1.901,3.141
717,1.879,2.975
718,1.886,2.684
719,2.319,2.698
720,2.041,2.733
721,2.077,2.685
722,2.187,2.722
723,2.117,3.058
724,2.138,2.746
725,1.986,2.771
726,2.02,2.738
727,2.059,2.735
728,2.024,2.714
729,1.978,2.85
730,1.955,2.833
731,2.139,2.701
732,2.756,2.637
733,2.074,2.904
734,1.891,2.894
735,1.873,2.893
736,1.924,2.541
737,1.868,2.731
738,1.925,2.697
739,1.871,2.597
740,1.869,2.496
741,1.869,2.528
742,2.712,2.459
743,3.1,2.788
744,2.385,3.192
745,2.371,2.354
746,2.378,2.195
747,2.381,2.36
748,2.384,2.616
749,2.417,2.447
750,2.429,2.662
751,2.49,3.093
752,2.5,2.504
753,2.417,2.499
754,2.413,2.213
755,2.482,2.192
756,2.425,2.184
757,2.629,2.818
758,2.418,3.019
759,2.434,3.014
760,2.433,2.551
761,2.528,2.984
762,2.377,2.835
763,2.555,2.648
764,2.604,2.325
765,2.629,2.447
766,2.639,2.659
767,2.621,2.62
768,3.179,2.427
769,3.202,2.786
770,2.786,3.039
771,3.037,2.888
772,2.947,2.662
773,3.284,2.867
774,3.595,2.618
775,2.869,3.011
776,3.202,2.689
777,3.23,2.914
778,2.927,2.523
779,2.715,2.854
780,3.042,2.66
781,3.379,2.401
782,2.718,2.868
783,2.534,2.353
784,3.469,2.361
785,2.8,2.337
786,2.979,2.578
787,2.737,2.695
788,2.547,2.385
789,2.492,2.318
790,2.503,2.935
791,2.487,3.423
792,2.568,2.812
793,2.572,2.808
794,2.576,2.759
795,2.575,2.881
796,2.525,2.858
797,2.594,2.798
798,2.522,3.545
799,2.599,2.819
800,2.694,2.096
801,2.823,2.607
802,2.605,2.367
803,2.679,2.907
804,3.557,2.892
805,2.626,3.625
806,2.614,2.722
807,2.559,2.96
808,2.543,3.422
809,2.563,2.88
810,2.552,2.374
811,2.556,2.148
812,2.564,2.455
813,2.57,2.25
814,2.715,1.99
815,2.546,2.057
816,2.443,2.05
817,2.729,1.988
818,2.507,2.052
819,2.453,1.993
